time,ntime,latitude,nlatitude,longitude,nlongitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-10T01:08:48.650Z,2019-02-10 01:08:49,2.5697,92.5697,127.0175,307.0175,60.1,5,mb,,104,1.819,1,us,us2000jftd,2019-02-10T01:26:55.040Z,"144km NW of Tobelo, Indonesia",earthquake,8.9,7.6,0.054,108,reviewed,us,us
2019-02-10T01:08:08.019Z,2019-02-10 01:08:08,37.713,127.713,-115.791,64.209,8.4,2.3,ml,25,84.29,0.077,0.2675,nn,nn00677430,2019-02-10T01:30:51.333Z,"67km NW of Alamo, Nevada",earthquake,,1.7,0.17,7,reviewed,nn,nn
2019-02-10T01:06:17.700Z,2019-02-10 01:06:18,2.6919,92.6919,127.2165,307.2165,35,4.6,mb,,175,1.913,0.42,us,us2000jftb,2019-02-10T01:32:24.040Z,"138km NW of Tobelo, Indonesia",earthquake,7.3,2,0.102,29,reviewed,us,us
2019-02-10T00:46:43.049Z,2019-02-10 00:46:43,61.4046,151.4046,-150.1049,29.8951,43.4,1.1,ml,,,,0.5,ak,ak0191vtb6i8,2019-02-10T00:57:11.201Z,"15km SSW of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-02-10T00:42:57.031Z,2019-02-10 00:42:57,61.4625,151.4625,-149.9013,30.0987,33.1,1.5,ml,,,,0.44,ak,ak0191vtacpz,2019-02-10T00:45:28.588Z,"7km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-10T00:42:44.720Z,2019-02-10 00:42:45,34.5871667,124.5871667,-118.645,61.355,11.5,1.37,ml,19,127,0.09351,0.21,ci,ci37527234,2019-02-10T00:46:21.270Z,"11km N of Castaic, CA",earthquake,0.52,1.2,0.24,26,automatic,ci,ci
2019-02-10T00:30:54.510Z,2019-02-10 00:30:55,35.8445015,125.8445015,-121.3036652,58.6963348,11.13,2.53,md,31,160,0.1377,0.1,nc,nc73140445,2019-02-10T01:04:03.978Z,"25km NNW of San Simeon, CA",earthquake,0.48,0.73,0.13,21,automatic,nc,nc
2019-02-10T00:27:44.620Z,2019-02-10 00:27:45,34.6095,124.6095,-118.649,61.351,6.68,1.77,ml,38,60,0.09535,0.26,ci,ci37527218,2019-02-10T00:31:27.868Z,"14km N of Castaic, CA",earthquake,0.36,1.11,0.142,27,automatic,ci,ci
2019-02-10T00:04:57.434Z,2019-02-10 00:04:57,62.0554,152.0554,-149.5673,30.4327,34.6,1.5,ml,,,,1.06,ak,ak0191vt27jj,2019-02-10T00:08:11.728Z,"18km SE of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-10T00:02:45.730Z,2019-02-10 00:02:46,18.1128,108.1128,-67.0296,112.9704,26,1.72,md,5,104,0.0844,0.4,pr,pr2019041000,2019-02-10T04:32:40.658Z,"3km NNE of San German, Puerto Rico",earthquake,1.79,3.41,0.19,5,reviewed,pr,pr
